,timestamp,year,month,location,rain_mm
0,1959-01-15,1959,1,Eastbourne,109.5
1,1959-02-15,1959,2,Eastbourne,0.0
2,1959-03-15,1959,3,Eastbourne,43.0
3,1959-04-15,1959,4,Eastbourne,62.5
4,1959-05-15,1959,5,Eastbourne,12.5
5,1959-06-15,1959,6,Eastbourne,23.2
6,1959-07-15,1959,7,Eastbourne,39.8
7,1959-08-15,1959,8,Eastbourne,25.7
8,1959-09-15,1959,9,Eastbourne,6.6
9,1959-10-15,1959,10,Eastbourne,106.8
10,1959-11-15,1959,11,Eastbourne,151.5
11,1959-12-15,1959,12,Eastbourne,196.7
12,1960-01-15,1960,1,Eastbourne,82.0
13,1960-02-15,1960,2,Eastbourne,52.6
14,1960-03-15,1960,3,Eastbourne,80.5
15,1960-04-15,1960,4,Eastbourne,35.7
16,1960-05-15,1960,5,Eastbourne,70.4
17,1960-06-15,1960,6,Eastbourne,59.1
18,1960-07-15,1960,7,Eastbourne,60.2
19,1960-08-15,1960,8,Eastbourne,148.8
20,1960-09-15,1960,9,Eastbourne,66.5
21,1960-10-15,1960,10,Eastbourne,179.5
22,1960-11-15,1960,11,Eastbourne,218.8
23,1960-12-15,1960,12,Eastbourne,125.3
24,1961-01-15,1961,1,Eastbourne,147.5
25,1961-02-15,1961,2,Eastbourne,66.7
26,1961-03-15,1961,3,Eastbourne,6.3
27,1961-04-15,1961,4,Eastbourne,60.8
28,1961-05-15,1961,5,Eastbourne,32.0
29,1961-06-15,1961,6,Eastbourne,32.7
30,1961-07-15,1961,7,Eastbourne,69.1
31,1961-08-15,1961,8,Eastbourne,17.2
32,1961-09-15,1961,9,Eastbourne,64.5
33,1961-10-15,1961,10,Eastbourne,111.8
34,1961-11-15,1961,11,Eastbourne,100.6
35,1961-12-15,1961,12,Eastbourne,104.1
36,1962-01-15,1962,1,Eastbourne,89.7
37,1962-02-15,1962,2,Eastbourne,18.6
38,1962-03-15,1962,3,Eastbourne,50.0
39,1962-04-15,1962,4,Eastbourne,48.6
40,1962-05-15,1962,5,Eastbourne,41.8
41,1962-06-15,1962,6,Eastbourne,12.8
42,1962-07-15,1962,7,Eastbourne,53.1
43,1962-08-15,1962,8,Eastbourne,105.5
44,1962-09-15,1962,9,Eastbourne,64.7
45,1962-10-15,1962,10,Eastbourne,51.8
46,1962-11-15,1962,11,Eastbourne,69.8
47,1962-12-15,1962,12,Eastbourne,97.9
48,1963-01-15,1963,1,Eastbourne,12.5
49,1963-02-15,1963,2,Eastbourne,19.5
50,1963-03-15,1963,3,Eastbourne,74.0
51,1963-04-15,1963,4,Eastbourne,89.9
52,1963-05-15,1963,5,Eastbourne,42.0
53,1963-06-15,1963,6,Eastbourne,87.2
54,1963-07-15,1963,7,Eastbourne,43.4
55,1963-08-15,1963,8,Eastbourne,103.7
56,1963-09-15,1963,9,Eastbourne,88.3
57,1963-10-15,1963,10,Eastbourne,67.1
58,1963-11-15,1963,11,Eastbourne,209.6
59,1963-12-15,1963,12,Eastbourne,20.4
60,1964-01-15,1964,1,Eastbourne,33.7
61,1964-02-15,1964,2,Eastbourne,37.6
62,1964-03-15,1964,3,Eastbourne,124.3
63,1964-04-15,1964,4,Eastbourne,76.1
64,1964-05-15,1964,5,Eastbourne,83.7
65,1964-06-15,1964,6,Eastbourne,85.3
66,1964-07-15,1964,7,Eastbourne,34.9
67,1964-08-15,1964,8,Eastbourne,43.7
68,1964-09-15,1964,9,Eastbourne,34.4
69,1964-10-15,1964,10,Eastbourne,100.6
70,1964-11-15,1964,11,Eastbourne,104.0
71,1964-12-15,1964,12,Eastbourne,76.0
72,1965-01-15,1965,1,Eastbourne,91.0
73,1965-02-15,1965,2,Eastbourne,9.7
74,1965-03-15,1965,3,Eastbourne,74.7
75,1965-04-15,1965,4,Eastbourne,37.0
76,1965-05-15,1965,5,Eastbourne,46.2
77,1965-06-15,1965,6,Eastbourne,66.9
78,1965-07-15,1965,7,Eastbourne,101.5
79,1965-08-15,1965,8,Eastbourne,75.7
80,1965-09-15,1965,9,Eastbourne,137.5
81,1965-10-15,1965,10,Eastbourne,14.4
82,1965-11-15,1965,11,Eastbourne,72.5
83,1965-12-15,1965,12,Eastbourne,140.1
84,1966-01-15,1966,1,Eastbourne,59.6
85,1966-02-15,1966,2,Eastbourne,105.7
86,1966-03-15,1966,3,Eastbourne,20.5
87,1966-04-15,1966,4,Eastbourne,98.8
88,1966-05-15,1966,5,Eastbourne,37.6
89,1966-06-15,1966,6,Eastbourne,52.7
90,1966-07-15,1966,7,Eastbourne,73.4
91,1966-08-15,1966,8,Eastbourne,70.3
92,1966-09-15,1966,9,Eastbourne,31.6
93,1966-10-15,1966,10,Eastbourne,198.9
94,1966-11-15,1966,11,Eastbourne,73.3
95,1966-12-15,1966,12,Eastbourne,103.1
96,1967-01-15,1967,1,Eastbourne,59.5
97,1967-02-15,1967,2,Eastbourne,65.2
98,1967-03-15,1967,3,Eastbourne,40.0
99,1967-04-15,1967,4,Eastbourne,62.4
100,1967-05-15,1967,5,Eastbourne,67.7
101,1967-06-15,1967,6,Eastbourne,58.1
102,1967-07-15,1967,7,Eastbourne,11.6
103,1967-08-15,1967,8,Eastbourne,99.2
104,1967-09-15,1967,9,Eastbourne,102.6
105,1967-10-15,1967,10,Eastbourne,145.9
106,1967-11-15,1967,11,Eastbourne,84.5
107,1967-12-15,1967,12,Eastbourne,90.5
108,1968-01-15,1968,1,Eastbourne,82.6
109,1968-02-15,1968,2,Eastbourne,67.3
110,1968-03-15,1968,3,Eastbourne,21.4
111,1968-04-15,1968,4,Eastbourne,71.4
112,1968-05-15,1968,5,Eastbourne,53.6
113,1968-06-15,1968,6,Eastbourne,43.4
114,1968-07-15,1968,7,Eastbourne,51.0
115,1968-08-15,1968,8,Eastbourne,58.8
116,1968-09-15,1968,9,Eastbourne,117.3
117,1968-10-15,1968,10,Eastbourne,92.2
118,1968-11-15,1968,11,Eastbourne,23.0
119,1968-12-15,1968,12,Eastbourne,49.3
120,1969-01-15,1969,1,Eastbourne,75.0
121,1969-02-15,1969,2,Eastbourne,51.6
122,1969-03-15,1969,3,Eastbourne,61.9
123,1969-04-15,1969,4,Eastbourne,39.3
124,1969-05-15,1969,5,Eastbourne,65.8
125,1969-06-15,1969,6,Eastbourne,34.7
126,1969-07-15,1969,7,Eastbourne,75.0
127,1969-08-15,1969,8,Eastbourne,85.5
128,1969-09-15,1969,9,Eastbourne,7.1
129,1969-10-15,1969,10,Eastbourne,2.3
130,1969-11-15,1969,11,Eastbourne,176.6
131,1969-12-15,1969,12,Eastbourne,91.1
132,1970-01-15,1970,1,Eastbourne,119.9
133,1970-02-15,1970,2,Eastbourne,73.8
134,1970-03-15,1970,3,Eastbourne,45.7
135,1970-04-15,1970,4,Eastbourne,76.0
136,1970-05-15,1970,5,Eastbourne,34.0
137,1970-06-15,1970,6,Eastbourne,18.1
138,1970-07-15,1970,7,Eastbourne,59.5
139,1970-08-15,1970,8,Eastbourne,68.7
140,1970-09-15,1970,9,Eastbourne,113.8
141,1970-10-15,1970,10,Eastbourne,28.1
142,1970-11-15,1970,11,Eastbourne,209.9
143,1970-12-15,1970,12,Eastbourne,58.1
144,1971-01-15,1971,1,Eastbourne,89.9
145,1971-02-15,1971,2,Eastbourne,25.5
146,1971-03-15,1971,3,Eastbourne,57.0
147,1971-04-15,1971,4,Eastbourne,34.2
148,1971-05-15,1971,5,Eastbourne,59.5
149,1971-06-15,1971,6,Eastbourne,181.6
150,1971-07-15,1971,7,Eastbourne,38.5
151,1971-08-15,1971,8,Eastbourne,69.8
152,1971-09-15,1971,9,Eastbourne,15.3
153,1971-10-15,1971,10,Eastbourne,47.3
154,1971-11-15,1971,11,Eastbourne,48.9
155,1971-12-15,1971,12,Eastbourne,22.7
156,1972-01-15,1972,1,Eastbourne,66.7
157,1972-02-15,1972,2,Eastbourne,52.1
158,1972-03-15,1972,3,Eastbourne,45.4
159,1972-04-15,1972,4,Eastbourne,65.5
160,1972-05-15,1972,5,Eastbourne,35.5
161,1972-06-15,1972,6,Eastbourne,63.8
162,1972-07-15,1972,7,Eastbourne,25.5
163,1972-08-15,1972,8,Eastbourne,21.6
164,1972-09-15,1972,9,Eastbourne,31.7
165,1972-10-15,1972,10,Eastbourne,23.2
166,1972-11-15,1972,11,Eastbourne,83.4
167,1972-12-15,1972,12,Eastbourne,78.6
168,1973-01-15,1973,1,Eastbourne,48.2
169,1973-02-15,1973,2,Eastbourne,42.3
170,1973-03-15,1973,3,Eastbourne,19.5
171,1973-04-15,1973,4,Eastbourne,47.9
172,1973-05-15,1973,5,Eastbourne,84.5
173,1973-06-15,1973,6,Eastbourne,35.7
174,1973-07-15,1973,7,Eastbourne,36.0
175,1973-08-15,1973,8,Eastbourne,17.6
176,1973-09-15,1973,9,Eastbourne,89.6
177,1973-10-15,1973,10,Eastbourne,43.7
178,1973-11-15,1973,11,Eastbourne,44.5
179,1973-12-15,1973,12,Eastbourne,48.2
180,1974-01-15,1974,1,Eastbourne,95.6
181,1974-02-15,1974,2,Eastbourne,103.0
182,1974-03-15,1974,3,Eastbourne,28.7
183,1974-04-15,1974,4,Eastbourne,15.1
184,1974-05-15,1974,5,Eastbourne,19.9
185,1974-06-15,1974,6,Eastbourne,47.7
186,1974-07-15,1974,7,Eastbourne,56.2
